,Emp_Id,Age,Attrition,DistanceFromHome,Education,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Q1_Longest_Streak_OUT,Q2_Longest_Streak_OUT,Q3_Longest_Streak_OUT,Q4_Longest_Streak_OUT,Q1_Longest_Streak_IN,Q2_Longest_Streak_IN,Q3_Longest_Streak_IN,Q4_Longest_Streak_IN,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
2034,2035,34,0,9,1,2,26570,2.0,13,1,5.0,3,3,0,2,4.0,3.0,2.0,2,3,0,2,2,7,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2035,2036,29,0,1,4,3,27160,0.0,18,0,8.0,2,7,1,1,4.0,2.0,2.0,1,3,4,0,3,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
2036,2037,42,0,21,2,1,22010,4.0,12,1,16.0,3,1,0,0,2.0,4.0,3.0,4,3,1,0,0,11,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2037,2038,29,0,4,2,2,65400,1.0,22,0,10.0,2,10,1,2,2.0,4.0,2.0,1,4,0,0,1,0,5,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
2038,2039,38,0,1,3,1,38160,1.0,13,2,7.0,2,7,5,0,3.0,3.0,4.0,2,3,0,1,0,2,0,6,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2039,2040,28,0,6,4,1,52530,1.0,15,0,3.0,2,3,0,2,3.0,3.0,3.0,3,3,0,0,1,1,2,1,3,4,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
2040,2041,18,1,2,4,3,109650,1.0,18,0,0.0,5,0,0,0,3.0,3.0,3.0,4,3,0,0,1,0,4,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
2041,2042,33,1,3,2,1,49360,0.0,14,0,6.0,2,5,0,3,1.0,1.0,3.0,2,3,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2042,2043,41,0,4,2,2,25430,3.0,12,0,6.0,3,1,0,0,2.0,4.0,3.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2043,2044,31,1,10,3,1,53040,1.0,17,0,2.0,3,2,2,2,3.0,3.0,2.0,4,3,0,4,0,0,2,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
2044,2045,37,0,23,3,3,166590,7.0,16,1,9.0,2,6,1,3,3.0,4.0,3.0,3,3,0,0,1,2,9,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
2045,2046,27,0,6,2,1,42600,1.0,11,2,4.0,2,4,2,2,4.0,3.0,3.0,3,3,0,0,0,3,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
2046,2047,34,0,1,1,2,24760,1.0,19,0,6.0,2,6,1,3,2.0,3.0,2.0,3,3,0,1,0,1,0,3,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2047,2048,35,0,6,3,3,31020,1.0,13,1,6.0,3,5,1,4,3.0,3.0,1.0,2,3,6,0,0,0,8,1,0,5,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
2048,2049,29,1,6,3,1,22440,1.0,12,3,11.0,5,11,3,10,4.0,1.0,1.0,1,3,0,0,1,2,8,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2049,2050,40,0,2,4,4,75960,9.0,11,0,20.0,0,18,2,13,2.0,3.0,2.0,1,3,1,0,5,0,0,0,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2050,2051,42,1,2,4,1,22850,0.0,16,0,22.0,3,21,13,14,3.0,1.0,2.0,1,3,0,4,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
2051,2052,42,0,1,2,4,30340,7.0,21,1,9.0,3,6,1,5,2.0,1.0,4.0,2,4,1,0,2,3,1,4,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
2052,2053,35,0,5,3,1,57150,6.0,24,2,10.0,0,8,1,7,4.0,3.0,3.0,3,4,0,0,1,0,0,0,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2053,2054,24,0,7,4,1,25760,8.0,17,3,6.0,3,4,1,2,4.0,2.0,3.0,3,3,5,1,0,2,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
2054,2055,28,1,15,4,2,41970,1.0,13,0,1.0,3,1,0,0,3.0,4.0,2.0,1,3,2,0,1,1,1,0,5,7,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2055,2056,26,0,1,4,2,143360,1.0,21,1,8.0,3,8,0,7,1.0,4.0,3.0,3,4,0,0,5,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
2056,2057,30,0,7,2,1,34480,1.0,11,0,10.0,3,10,1,4,3.0,3.0,3.0,3,3,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2057,2058,40,0,26,4,2,194060,3.0,20,3,16.0,2,1,0,0,3.0,4.0,1.0,3,4,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2058,2059,35,0,18,5,2,65380,2.0,16,1,15.0,3,7,6,4,3.0,2.0,4.0,3,3,1,0,2,6,4,0,5,4,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2059,2060,34,0,6,2,1,43060,0.0,11,0,14.0,2,13,4,9,4.0,1.0,3.0,3,3,0,2,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2060,2061,35,0,3,3,2,22580,1.0,11,1,2.0,2,2,2,2,4.0,4.0,4.0,3,3,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2061,2062,43,1,5,3,3,45220,8.0,15,1,7.0,3,4,1,3,1.0,3.0,2.0,3,3,0,0,1,0,1,0,2,2,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2062,2063,32,0,11,2,2,44870,1.0,11,0,1.0,5,1,0,0,3.0,1.0,3.0,2,3,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2063,2064,56,0,3,2,2,44490,4.0,15,0,28.0,3,5,4,2,4.0,1.0,3.0,1,3,2,2,1,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
2064,2065,29,0,26,1,1,22180,1.0,24,1,10.0,1,10,0,8,2.0,4.0,3.0,3,4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2065,2066,19,0,23,4,2,191970,1.0,12,0,1.0,2,1,0,0,3.0,1.0,3.0,3,3,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
2066,2067,45,0,22,3,2,132120,4.0,13,0,7.0,4,3,0,2,1.0,3.0,2.0,3,3,0,0,4,2,1,0,9,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
2067,2068,37,0,14,4,3,65770,1.0,13,0,14.0,1,14,3,11,4.0,4.0,2.0,1,3,0,0,0,5,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2068,2069,20,0,6,3,5,83920,1.0,17,0,2.0,5,2,1,2,1.0,3.0,2.0,3,3,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2069,2070,44,1,6,2,3,45580,1.0,13,1,6.0,2,6,0,2,3.0,3.0,3.0,1,3,0,0,3,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2070,2071,53,0,6,4,1,40310,3.0,12,1,26.0,3,7,4,7,4.0,3.0,3.0,2,3,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
2071,2072,29,0,23,3,1,79690,0.0,14,0,6.0,3,5,1,3,2.0,4.0,2.0,3,3,0,0,0,0,0,0,1,14,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2072,2073,22,1,22,4,1,26540,0.0,24,0,1.0,5,0,0,0,3.0,4.0,3.0,2,4,0,5,4,8,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
2073,2074,46,0,2,3,2,165550,8.0,14,2,28.0,4,26,15,9,3.0,1.0,3.0,3,3,6,1,0,6,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2074,2075,44,0,20,3,1,45560,2.0,13,0,6.0,4,0,0,0,4.0,3.0,3.0,3,3,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2075,2076,33,0,28,4,1,60910,1.0,15,0,5.0,6,5,1,4,2.0,3.0,3.0,1,3,0,0,1,2,0,0,1,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2076,2077,41,1,12,3,2,195660,6.0,16,0,5.0,2,1,0,0,1.0,1.0,1.0,4,3,0,0,0,2,6,0,3,2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
2077,2078,30,0,20,3,3,48100,8.0,18,0,8.0,3,4,0,3,3.0,1.0,3.0,2,3,0,2,3,0,2,0,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2078,2079,40,0,9,3,1,45230,5.0,16,1,5.0,5,0,0,0,2.0,2.0,3.0,4,3,1,0,0,9,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2080,2081,28,0,6,3,2,23510,1.0,16,0,6.0,4,6,3,3,4.0,1.0,3.0,3,3,0,1,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2081,2082,46,0,8,4,3,17020,5.0,21,0,25.0,2,4,0,3,4.0,2.0,3.0,3,4,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2082,2083,35,0,4,4,1,180410,3.0,20,1,15.0,3,7,1,7,3.0,1.0,3.0,2,4,7,0,0,4,7,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2083,2084,24,1,28,4,3,28860,1.0,19,1,1.0,5,1,0,0,4.0,2.0,1.0,3,3,4,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2084,2085,33,0,9,2,1,20970,1.0,14,2,10.0,5,10,0,1,2.0,3.0,2.0,2,3,0,0,0,6,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
2085,2086,36,0,9,2,2,119350,1.0,11,3,7.0,6,7,1,7,3.0,3.0,3.0,4,3,1,1,0,0,3,0,2,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2086,2087,30,0,29,3,1,25460,1.0,14,1,10.0,2,10,8,9,3.0,3.0,2.0,3,3,0,0,0,0,1,0,1,2,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2087,2088,44,0,3,4,2,25640,1.0,12,3,20.0,3,20,13,17,4.0,4.0,3.0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2088,2089,20,0,18,4,1,84120,1.0,13,0,2.0,2,2,2,2,3.0,4.0,3.0,2,3,0,1,1,1,4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2089,2090,46,0,9,1,1,141180,2.0,22,0,12.0,3,6,1,4,4.0,4.0,2.0,3,4,2,0,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
2090,2091,42,0,5,4,5,170460,7.0,11,0,10.0,3,4,0,3,4.0,1.0,4.0,2,3,0,0,0,0,3,3,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2091,2092,60,0,2,2,2,25640,0.0,14,1,12.0,3,11,1,9,2.0,4.0,3.0,3,3,3,0,0,0,2,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2092,2093,32,0,10,3,1,102660,1.0,11,0,2.0,3,2,2,2,3.0,2.0,3.0,3,3,0,2,0,4,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
2093,2094,32,0,9,3,2,50700,4.0,12,1,10.0,6,8,0,7,4.0,3.0,3.0,3,3,1,0,1,6,1,4,2,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2094,2095,36,0,3,2,4,178610,2.0,18,0,17.0,2,7,7,7,3.0,1.0,3.0,2,3,0,0,5,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
2095,2096,33,0,26,2,1,42300,0.0,12,0,15.0,0,14,4,10,1.0,4.0,3.0,3,3,1,0,0,4,5,2,0,3,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2096,2097,40,0,1,3,2,37800,7.0,12,0,7.0,2,5,1,3,2.0,2.0,4.0,1,3,3,0,0,0,1,0,0,3,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2097,2098,25,0,6,2,1,27680,0.0,22,1,5.0,0,4,1,1,3.0,4.0,3.0,3,4,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
2098,2099,30,0,9,3,1,90710,0.0,19,1,12.0,2,11,5,7,4.0,2.0,3.0,2,3,0,0,0,3,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2099,2100,42,0,8,2,1,106480,3.0,13,1,20.0,1,1,0,0,1.0,1.0,3.0,3,3,5,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2100,2101,35,0,1,1,2,136100,4.0,22,2,16.0,4,13,4,12,3.0,4.0,2.0,2,4,0,0,1,0,0,0,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2101,2102,27,0,7,3,3,34080,1.0,24,0,9.0,2,9,6,8,1.0,1.0,2.0,3,4,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2102,2103,54,0,9,2,2,29830,7.0,14,1,33.0,2,5,1,4,4.0,3.0,1.0,2,3,3,0,0,3,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
2103,2104,44,0,4,4,5,76320,1.0,21,0,10.0,3,10,7,7,1.0,4.0,3.0,3,4,1,0,0,2,3,1,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2104,2105,19,1,2,2,3,98240,1.0,18,0,1.0,2,1,0,0,1.0,2.0,4.0,3,3,0,0,4,1,0,0,4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2105,2106,29,0,19,4,1,99500,1.0,20,0,3.0,3,3,1,2,1.0,4.0,3.0,3,4,1,0,2,4,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
2106,2107,54,0,9,4,2,20930,3.0,19,0,36.0,2,10,0,9,4.0,4.0,3.0,3,3,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2107,2108,31,0,21,3,2,99800,1.0,12,0,6.0,1,6,0,1,3.0,1.0,2.0,3,3,0,0,0,0,0,0,4,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2108,2109,31,0,24,1,1,38940,1.0,12,0,10.0,3,10,1,8,3.0,1.0,3.0,4,3,0,3,0,0,0,1,4,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2109,2110,59,0,3,4,1,40510,5.0,16,3,13.0,3,6,0,5,3.0,4.0,3.0,3,3,0,2,4,2,0,2,2,11,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2110,2111,43,0,11,2,3,168350,3.0,17,1,25.0,3,8,0,7,3.0,4.0,3.0,3,3,0,0,0,4,0,0,4,5,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2111,2112,49,0,14,4,2,62300,2.0,14,0,23.0,2,1,0,0,1.0,3.0,4.0,2,3,1,2,0,3,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2112,2113,36,0,5,2,1,47170,1.0,19,1,12.0,3,11,0,7,3.0,2.0,2.0,3,3,1,0,1,5,0,0,2,3,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2113,2114,48,0,1,4,2,132370,5.0,13,1,7.0,2,1,0,0,4.0,2.0,2.0,4,3,0,0,0,2,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
2114,2115,27,0,6,4,2,37550,1.0,19,0,5.0,2,5,0,3,1.0,3.0,3.0,3,3,0,1,5,4,2,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2115,2116,29,0,17,4,1,65820,1.0,19,1,6.0,3,6,1,0,3.0,4.0,3.0,3,3,0,2,0,2,2,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2116,2117,48,0,1,1,2,74060,6.0,14,2,25.0,2,1,0,0,4.0,4.0,4.0,3,3,0,0,1,4,1,0,1,2,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
2117,2118,29,0,3,3,2,48050,3.0,16,1,9.0,2,7,1,7,4.0,4.0,2.0,3,3,0,0,0,7,1,3,2,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2118,2119,34,0,9,4,2,27410,0.0,15,1,2.0,3,1,0,0,3.0,3.0,2.0,3,3,2,0,0,0,0,5,4,3,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2119,2120,44,0,4,3,1,42620,7.0,18,0,26.0,2,22,3,10,2.0,2.0,3.0,3,3,0,0,3,5,0,0,0,3,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2120,2121,33,0,8,2,2,161840,0.0,13,1,10.0,2,9,0,8,4.0,3.0,3.0,4,3,1,0,0,0,4,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2121,2122,19,0,2,4,3,115570,1.0,22,0,1.0,0,1,0,1,2.0,4.0,3.0,3,4,1,0,0,1,2,0,0,4,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
2122,2123,23,0,2,3,3,18780,1.0,13,1,1.0,2,1,0,1,4.0,3.0,3.0,3,3,5,0,1,0,3,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2123,2124,25,1,1,1,1,109320,1.0,11,1,1.0,3,1,1,0,3.0,4.0,3.0,3,3,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
2124,2125,26,0,9,3,2,68110,1.0,11,1,8.0,4,8,2,2,3.0,4.0,2.0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2125,2126,45,1,12,3,2,43060,2.0,11,2,26.0,3,24,1,11,1.0,2.0,3.0,3,3,3,6,0,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
2126,2127,55,0,27,3,2,48590,1.0,24,1,34.0,3,33,15,0,4.0,2.0,3.0,4,4,1,0,0,3,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2127,2128,21,1,20,2,4,53370,1.0,14,1,2.0,2,2,2,2,1.0,3.0,1.0,3,3,8,2,0,1,2,1,2,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2128,2129,46,0,1,4,1,23400,2.0,13,1,26.0,2,11,0,8,4.0,2.0,3.0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2129,2130,34,0,13,4,3,74910,0.0,14,1,4.0,3,3,0,2,3.0,1.0,3.0,2,3,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2130,2131,51,0,14,3,2,105270,4.0,14,0,31.0,3,29,11,10,4.0,2.0,2.0,3,3,0,0,0,0,1,3,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
2131,2132,59,0,4,2,2,165950,6.0,21,1,25.0,2,9,5,4,4.0,4.0,2.0,3,4,5,0,0,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2132,2133,34,0,14,4,3,88340,4.0,13,1,15.0,1,11,5,10,3.0,2.0,4.0,3,3,2,3,0,4,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2133,2134,28,0,2,3,1,55770,0.0,19,0,5.0,3,4,0,2,4.0,3.0,2.0,3,3,1,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
2134,2135,44,0,3,4,2,47070,1.0,17,0,26.0,4,25,14,13,3.0,1.0,2.0,1,3,0,2,5,3,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
2135,2136,34,0,1,3,2,24000,4.0,18,1,14.0,3,10,1,8,3.0,2.0,4.0,3,3,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2136,2137,35,0,9,3,4,98240,0.0,19,0,4.0,2,3,2,2,3.0,3.0,3.0,3,3,2,0,0,0,0,3,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2137,2138,42,0,23,4,1,64470,6.0,13,0,18.0,3,1,0,0,2.0,2.0,3.0,3,3,0,2,5,0,0,4,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2138,2139,43,0,7,2,1,195020,3.0,18,2,23.0,3,21,15,17,4.0,4.0,4.0,4,3,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
2139,2140,36,0,2,4,1,27250,9.0,21,1,18.0,4,16,5,12,3.0,2.0,3.0,2,4,1,0,1,3,0,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2140,2141,44,1,21,4,2,62720,1.0,19,1,10.0,3,10,0,5,1.0,4.0,3.0,3,3,0,0,4,0,1,3,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2141,2142,28,0,2,3,2,21270,1.0,14,0,2.0,3,2,2,2,4.0,4.0,3.0,3,3,0,0,0,1,0,0,0,5,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
2143,2144,30,0,2,4,1,20960,7.0,11,3,10.0,2,8,1,7,3.0,3.0,3.0,3,3,0,3,0,4,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2144,2145,29,1,29,4,1,28860,3.0,13,0,10.0,4,7,7,7,2.0,3.0,3.0,3,3,0,2,2,0,1,0,2,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
